alias,node_path
经典图生成函数学习神经网络graphon neural representation(IGNR),IGNR
网络Tucker分解network Tucker decomposition(NTD),NTD
网络分解,NTD
网络收缩动力学,NCD
网络收缩动力学network contractor dynamics(NCD),NCD
耦合量子振子,CQOs
耦合量子振子coupled quantum oscillators(CQOs),CQOs
能级统计,能级统计
能级统计level statistics,能级统计
自动可微张量网络,ADTN
自动可微张量网络automatically differentiable tensor network(ADTN),ADTN
自动可微量子电路,ADQC
自动可微量子电路automatically differentiable quantum circuit(ADQC),ADQC
自旋-1/2 XXZ链spin-1/2 XXZ chain,自旋链
自旋-1/2双腿蜂窝自旋梯spin-1/2 two-leg honeycomb spin ladder,spin-
自旋-1三聚化价键晶体trimerized valence bond crystal(TVBC),TVBC
自旋-1锯齿链反铁磁海森堡模型相图,自旋锯齿链反铁磁海森堡模型相图
自旋三聚化价键晶体,TVBC
自旋关联图样继承Sierpiński gasket旋转对称性,自旋关联图样继承Sierpi旋转对称性
自旋关联图样继承旋转对称性,自旋关联图样继承Sierpi旋转对称性
自旋双腿蜂窝自旋梯,spin-
自旋构型,自旋构型
自旋链,自旋链
自旋锯齿链反铁磁海森堡模型相图,自旋锯齿链反铁磁海森堡模型相图
范式,范式
虚拟配置二值化,VCB
虚拟配置二值化virtual configuration binarization(VCB),VCB
虚时演化,虚时演化
虚时演化imaginary time evolution,虚时演化
虚时间扫描算法,ITSA
虚时间扫描算法imaginary-time-sweep algorithm(ITSA),ITSA
蜂窝晶格,蜂窝晶格
蜂窝晶格honeycomb lattice,蜂窝晶格
蜂窝格子蜂窝格子,蜂窝格子蜂窝格子
蜂窝格子蜂窝格子(honeycomb lattice),蜂窝格子蜂窝格子
蜂窝格自旋-1/2海森堡反铁磁体,蜂窝格自旋海森堡反铁磁体
蜂窝格自旋海森堡反铁磁体,蜂窝格自旋海森堡反铁磁体
蜂窝状六角格子自旋1/2海森堡反铁磁模型,蜂窝状六角格子自旋海森堡反铁磁模型
蜂窝状六角格子自旋海森堡反铁磁模型,蜂窝状六角格子自旋海森堡反铁磁模型
谱形因子,谱形因子
谱形因子spectral form factor,谱形因子
谱聚类,谱聚类
谱聚类spectral clustering,谱聚类
贝特晶格,贝特晶格
贝特晶格Bethe lattice,贝特晶格
贝特近似贝特近似,贝特近似贝特近似
贝特近似贝特近似(Bethe approximation),贝特近似贝特近似
负对数保真度距离,NLF
负对数保真度距离negative log-fidelity(NLF),NLF
赫伯史密斯矿,OH
赫伯史密斯矿Herbertsmithite(ZnCu₃(OH)₆Cl₂),OH
超正交化,超正交化
超正交化super-orthogonalization,超正交化
距离,距离
边界张量边界张量,边界张量边界张量
边界张量边界张量(boundary tensor),边界张量边界张量
边界矩阵乘积态,边界矩阵乘积态
边界矩阵乘积态fine-tuning,边界矩阵乘积态
边界调谐,TH
边界调谐Hamiltoniantuning Hamiltonian(TH),TH
近邻,近邻
连续时间世界线量子蒙特卡罗,worm update
连续时间世界线量子蒙特卡罗worm update,worm update
连续矩阵乘积算符,连续矩阵乘积算符
连续矩阵乘积算符continuous matrix product operator(cMPO),连续矩阵乘积算符
连续空间,连续空间
连续空间continuous space,连续空间
通用学习范式,通用学习范式
通用学习范式universal learning,通用学习范式
部分有序相,部分有序相
部分有序相partially ordered phase,部分有序相
酉张量网络,酉张量网络
酉张量网络unitary tensor network,酉张量网络
配分函数,配分函数
配分函数partition function,配分函数
采样量子势神经网络,采样量子势神经网络
重标度对数保真度,RLF
重标度对数保真度rescaled logarithmic fidelity(RLF),RLF
量子傅里叶变换,QFT
量子傅里叶变换quantum Fourier transform(QFT),QFT
量子势神经网络,QPNN
量子势神经网络quantum potential neural network(QPNN),QPNN
量子变分指令集,量子变分指令集
量子变分指令集quantum variational instruction set(QuVIS),量子变分指令集
量子最小指令集,量子最小指令集
量子最小指令集quantum minimal instruction set(QuMIS),量子最小指令集
量子核函数,QKF
量子核函数quantum kernel function(QKF),QKF
量子混沌,量子混沌
量子混沌quantum chaos,量子混沌
量子特征映射,量子特征映射
量子特征映射quantum feature map,量子特征映射
量子相变量子相变,量子相变量子相变
量子相变量子相变(quantum phase transition),量子相变量子相变
量子纠缠,量子纠缠
量子纠缠quantum entanglement,量子纠缠
量子纠缠模拟器,QES
量子纠缠模拟器quantum entanglement simulator(QES),QES
量子线路,量子线路
量子线路state preparation,量子线路
量子自旋模型,量子自旋模型
量子自旋模型quantum spin model,量子自旋模型
量子自旋模型量子自旋模型,量子自旋模型量子自旋模型
量子自旋模型量子自旋模型(quantum spin model),量子自旋模型量子自旋模型
量子自旋液体,量子自旋液体
量子自旋液体quantum spin liquid,量子自旋液体
量子蒙特卡洛,量子蒙特卡洛
量子蒙特卡洛quantum Monte Carlo,量子蒙特卡洛
长短期记忆网络,LSTM
长短期记忆网络long short-term memory(LSTM),LSTM
随机幺正演化下纠缠增长偏离Page值,Page
随机幺正演化下纠缠增长偏离值,Page
随机矩阵理论,RMT
随机矩阵理论random matrix theory(RMT),RMT
非参数半监督学习,NSSL
非参数半监督学习non-parametric semi-supervised learning(NSSL),NSSL
面向密度张量网络态,ODTNS
面向密度张量网络态orientation-dependent tensor network state(ODTNS),ODTNS
顺磁相,顺磁相
顺磁相paramagnetic phase,顺磁相
